산업분류별,행정구역별,2015,2015,2015,2015
산업분류별,행정구역별,사업체수,매출액,영업비용,영업이익
도매 및 소매업,부산광역시,80017,77089014,72994656,4094358
도매 및 소매업,중구,6106,4440633,4207835,232798
도매 및 소매업,중앙동,1296,2372572,2281394,91178
도매 및 소매업,동광동,200,362784,341959,20825
도매 및 소매업,대청동,189,53604,49960,3644
도매 및 소매업,보수동,299,100693,94751,5942
도매 및 소매업,부평동,1014,286774,257843,28931
도매 및 소매업,광복동,1578,362382,321677,40705
도매 및 소매업,남포동,1313,665907,629127,36780
도매 및 소매업,영주1동,166,221886,217859,4027
도매 및 소매업,영주2동,51,14031,13265,766
도매 및 소매업,서구,3650,5589718,5405912,183806
도매 및 소매업,동대신1동,150,67744,64006,3738
도매 및 소매업,동대신2동,100,94670,88276,6394
도매 및 소매업,동대신3동,134,57507,54334,3173
도매 및 소매업,서대신1동,206,104491,98132,6359
도매 및 소매업,서대신3동,100,33326,29211,4115
도매 및 소매업,서대신4동,54,37392,36007,1385
도매 및 소매업,부민동,137,150420,142391,8029
도매 및 소매업,아미동,139,77269,73248,4021
도매 및 소매업,초장동,40,8588,7767,821
도매 및 소매업,충무동,765,475630,445254,30376
도매 및 소매업,남부민1동,775,1242632,1203776,38856
도매 및 소매업,암남동,743,2722106,2660595,61511
도매 및 소매업,남부민2동,307,517943,502915,15028
도매 및 소매업,동구,4957,4222356,3986502,235854
도매 및 소매업,초량1동,281,531172,513209,17963
도매 및 소매업,초량2동,267,129708,118854,10854
도매 및 소매업,초량3동,565,992100,925143,66957
도매 및 소매업,초량6동,63,8713,7286,1427
도매 및 소매업,수정1동,79,17761,15939,1822
도매 및 소매업,수정2동,308,212092,201536,10556
도매 및 소매업,수정4동,43,5198,4433,765
도매 및 소매업,수정5동,54,5764,5112,652
도매 및 소매업,범일1동,87,93734,86243,7491
도매 및 소매업,범일2동,2717,1803736,1705680,98056
도매 및 소매업,범일4동,127,15692,13689,2003
도매 및 소매업,범일5동,119,187689,184321,3368
도매 및 소매업,좌천동,247,218997,205057,13940
도매 및 소매업,영도구,2114,1242737,1154268,88469
도매 및 소매업,남항동,642,608598,566234,42364
도매 및 소매업,영선1동,282,45861,39462,6399
도매 및 소매업,영선2동,103,40814,36460,4354
도매 및 소매업,봉래1동,246,142447,133449,8998
도매 및 소매업,청학1동,142,87812,82249,5563
도매 및 소매업,청학2동,169,120158,113998,6160
도매 및 소매업,동삼1동,250,102160,94052,8108
도매 및 소매업,동삼2동,91,36928,34509,2419
도매 및 소매업,동삼3동,39,18191,17498,693
도매 및 소매업,신선동,85,11141,9448,1693
도매 및 소매업,봉래2동,65,28627,26909,1718
도매 및 소매업,부산진구,10363,6935833,6502666,433167
도매 및 소매업,부전2동,1465,2149558,2019683,129875
도매 및 소매업,연지동,256,192298,181281,11017
도매 및 소매업,초읍동,344,125652,118758,6894
도매 및 소매업,양정1동,433,170385,156956,13429
도매 및 소매업,양정2동,401,326603,307080,19523
도매 및 소매업,전포2동,611,376632,353315,23317
도매 및 소매업,부암1동,213,260581,246367,14214
도매 및 소매업,부암3동,168,58050,54515,3535
도매 및 소매업,당감2동,80,51635,48594,3041
도매 및 소매업,당감4동,155,52562,48807,3755
도매 및 소매업,가야2동,257,193090,180253,12837
도매 및 소매업,개금1동,400,183654,172621,11033
도매 및 소매업,개금2동,75,119879,115589,4290
도매 및 소매업,개금3동,191,77498,72764,4734
도매 및 소매업,범천1동,1356,579361,538742,40619
도매 및 소매업,범천2동,118,96331,92434,3897
도매 및 소매업,범천4동,149,62578,59137,3441
도매 및 소매업,당감제1동,402,100081,89665,10416
도매 및 소매업,가야제1동,313,154791,144757,10034
도매 및 소매업,부전1동,2225,988806,919533,69273
도매 및 소매업,전포1동,751,615808,581815,33993
도매 및 소매업,동래구,5377,3820920,3595874,225046
도매 및 소매업,수민동,579,680742,651850,28892
도매 및 소매업,복산동,321,36230,31148,5082
도매 및 소매업,온천1동,608,338563,313574,24989
도매 및 소매업,온천2동,796,782065,741992,40073
도매 및 소매업,온천3동,460,258988,238974,20014
도매 및 소매업,사직1동,334,103194,95149,8045
도매 및 소매업,사직2동,240,133496,125248,8248
도매 및 소매업,사직3동,320,222129,208107,14022
도매 및 소매업,안락1동,378,300068,279747,20321
도매 및 소매업,안락2동,524,466551,439216,27335
도매 및 소매업,명장1동,257,87431,82096,5335
도매 및 소매업,명장2동,155,75596,70197,5399
도매 및 소매업,명륜동,405,335867,318576,17291
도매 및 소매업,남구,3767,2875700,2737113,138587
도매 및 소매업,대연3동,572,729701,700901,28800
도매 및 소매업,대연4동,171,214779,209250,5529
도매 및 소매업,대연5동,307,128374,119168,9206
도매 및 소매업,대연6동,95,53166,50014,3152
도매 및 소매업,용호1동,340,147056,139376,7680
도매 및 소매업,용호2동,216,58417,53068,5349
도매 및 소매업,용호3동,177,33582,29885,3697
도매 및 소매업,용호4동,90,34871,32805,2066
도매 및 소매업,용당동,179,326282,318729,7553
도매 및 소매업,감만1동,236,260413,239725,20688
도매 및 소매업,감만2동,92,52459,49960,2499
도매 및 소매업,문현1동,158,60847,56551,4296
도매 및 소매업,문현2동,230,165914,154628,11286
도매 및 소매업,문현3동,157,106209,101247,4962
도매 및 소매업,문현4동,220,202984,195047,7937
도매 및 소매업,대연1동,370,222756,212751,10005
도매 및 소매업,우암동,157,77890,74008,3882
도매 및 소매업,북구,3648,2157573,2018050,139523
도매 및 소매업,구포1동,616,155146,139698,15448
도매 및 소매업,구포2동,555,531954,509559,22395
도매 및 소매업,구포3동,184,63114,57635,5479
도매 및 소매업,금곡동,244,167349,158817,8532
도매 및 소매업,화명1동,171,123026,114703,8323
도매 및 소매업,덕천1동,247,149979,139428,10551
도매 및 소매업,덕천2동,631,377836,351173,26663
도매 및 소매업,덕천3동,80,15741,14194,1547
도매 및 소매업,만덕1동,110,122786,118471,4315
도매 및 소매업,만덕2동,248,78755,72451,6304
도매 및 소매업,만덕3동,116,46566,43934,2632
도매 및 소매업,화명2동,143,65673,61258,4415
도매 및 소매업,화명3동,303,259648,236729,22919
도매 및 소매업,해운대구,6981,8029601,7578029,451572
도매 및 소매업,우1동,913,904983,853225,51758
도매 및 소매업,우2동,1326,2614839,2446315,168524
도매 및 소매업,중1동,658,478888,455296,23592
도매 및 소매업,중2동,89,29990,28009,1981
도매 및 소매업,송정동,201,163661,154752,8909
도매 및 소매업,반여2동,225,36974,32128,4846
도매 및 소매업,반여3동,128,13522,11580,1942
도매 및 소매업,반송2동,306,70717,62753,7964
도매 및 소매업,재송1동,583,1293839,1236986,56853
도매 및 소매업,재송2동,237,268409,256272,12137
도매 및 소매업,좌1동,488,260896,239897,20999
도매 및 소매업,좌2동,284,220231,202460,17771
도매 및 소매업,좌3동,57,50325,47749,2576
도매 및 소매업,좌4동,87,113557,101001,12556
도매 및 소매업,반여1동,935,1331074,1282991,48083
도매 및 소매업,반여4동,51,52258,49573,2685
도매 및 소매업,반송1동,413,125438,117042,8396
도매 및 소매업,사하구,5119,5044868,4783725,261143
도매 및 소매업,괴정1동,231,98552,90325,8227
도매 및 소매업,괴정2동,144,47825,44032,3793
도매 및 소매업,괴정3동,446,115320,103920,11400
도매 및 소매업,괴정4동,229,109973,103434,6539
도매 및 소매업,당리동,369,206938,188165,18773
도매 및 소매업,하단1동,420,342449,317560,24889
도매 및 소매업,하단2동,463,251197,234076,17121
도매 및 소매업,신평1동,322,1273136,1240278,32858
도매 및 소매업,신평2동,244,242162,229762,12400
도매 및 소매업,장림1동,427,607591,556776,50815
도매 및 소매업,장림2동,445,484965,463335,21630
도매 및 소매업,다대1동,505,327401,312156,15245
도매 및 소매업,다대2동,191,96924,90882,6042
도매 및 소매업,구평동,277,320006,305654,14352
도매 및 소매업,감천1동,296,505592,490411,15181
도매 및 소매업,감천2동,110,14837,12959,1878
도매 및 소매업,금정구,4656,4290430,4071240,219190
도매 및 소매업,서1동,124,8076,6982,1094
도매 및 소매업,서2동,173,48603,44036,4567
도매 및 소매업,금사동,402,945399,905578,39821
도매 및 소매업,부곡1동,204,73830,69342,4488
도매 및 소매업,부곡2동,212,278160,265025,13135
도매 및 소매업,부곡3동,291,424348,404194,20154
도매 및 소매업,부곡4동,148,38040,34087,3953
도매 및 소매업,장전1동,234,125868,117874,7994
도매 및 소매업,장전2동,208,80078,74071,6007
도매 및 소매업,장전3동,556,303471,285780,17691
도매 및 소매업,선두구동,198,165134,155289,9845
도매 및 소매업,청룡노포동,162,108190,100980,7210
도매 및 소매업,남산동,619,537063,507379,29684
도매 및 소매업,구서1동,387,523973,505998,17975
도매 및 소매업,구서2동,319,544383,518796,25587
도매 및 소매업,금성동,17,4951,4578,373
도매 및 소매업,서3동,402,80863,71251,9612
도매 및 소매업,강서구,3810,6585209,6259558,325651
도매 및 소매업,대저1동,744,681169,649060,32109
도매 및 소매업,대저2동,1390,2438886,2323742,115144
도매 및 소매업,강동동,336,356490,339265,17225
도매 및 소매업,명지동,419,333479,316992,16487
도매 및 소매업,가락동,131,202790,193952,8838
도매 및 소매업,녹산동,755,2559171,2423348,135823
도매 및 소매업,가덕도동,35,13224,13199,25
도매 및 소매업,연제구,3641,4022057,3767477,254580
도매 및 소매업,거제1동,388,730742,696627,34115
도매 및 소매업,거제2동,336,429257,406212,23045
도매 및 소매업,거제3동,317,308155,294518,13637
도매 및 소매업,거제4동,96,17984,16569,1415
도매 및 소매업,연산1동,335,272465,256428,16037
도매 및 소매업,연산2동,301,340114,306132,33982
도매 및 소매업,연산3동,127,25254,22618,2636
도매 및 소매업,연산4동,374,343077,331755,11322
도매 및 소매업,연산5동,420,1090811,1005843,84968
도매 및 소매업,연산6동,251,55488,49907,5581
도매 및 소매업,연산8동,229,112605,104882,7723
도매 및 소매업,연산9동,467,296105,275986,20119
도매 및 소매업,수영구,3603,2534463,2392637,141826
도매 및 소매업,남천1동,620,658550,628946,29604
도매 및 소매업,남천2동,181,37730,34216,3514
도매 및 소매업,수영동,445,199631,185054,14577
도매 및 소매업,망미1동,411,94506,86257,8249
도매 및 소매업,망미2동,196,372855,352223,20632
도매 및 소매업,광안1동,282,141112,131176,9936
도매 및 소매업,광안2동,296,196705,187348,9357
도매 및 소매업,광안3동,238,238821,227075,11746
도매 및 소매업,광안4동,212,168106,163605,4501
도매 및 소매업,민락동,722,426447,396737,29710
도매 및 소매업,사상구,9556,13180140,12541674,638466
도매 및 소매업,삼락동,363,595315,564536,30779
도매 및 소매업,모라1동,694,747737,721440,26297
도매 및 소매업,모라3동,34,11758,10515,1243
도매 및 소매업,덕포1동,262,116280,110763,5517
도매 및 소매업,덕포2동,261,207784,188732,19052
도매 및 소매업,괘법동,2805,3151056,2962677,188379
도매 및 소매업,주례1동,317,267973,257263,10710
도매 및 소매업,주례2동,296,203662,192738,10924
도매 및 소매업,주례3동,205,166938,160620,6318
도매 및 소매업,학장동,815,1634919,1564297,70622
도매 및 소매업,엄궁동,1295,1737315,1668597,68718
도매 및 소매업,감전동,2209,4339403,4139496,199907
도매 및 소매업,기장군,2669,2116776,1992096,124680
도매 및 소매업,기장읍,1386,864486,809147,55339
도매 및 소매업,장안읍,372,317900,300285,17615
도매 및 소매업,정관읍,596,628504,590297,38207
도매 및 소매업,일광면,191,202862,193160,9702
도매 및 소매업,철마면,124,103024,99207,3817
